2020 DK1,2025 DK1,2030 DK1,2035 DK1,2040 DK1,DATETIME
211.48,280,300,290,110,1/1/2019 1:00
75.20,340,300,290,110,1/1/2019 2:00
-30.47,280,290,300,280,1/1/2019 3:00
-74.00,280,290,290,280,1/1/2019 4:00
-55.33,280,290,280,280,1/1/2019 5:00
-93.72,270,270,110,110,1/1/2019 6:00
-128.81,270,220,110,110,1/1/2019 7:00
-112.54,280,270,250,110,1/1/2019 8:00
-36.81,280,270,110,110,1/1/2019 9:00
-47.27,280,270,110,80,1/1/2019 10:00
-36.81,280,280,110,40,1/1/2019 11:00
3.36,280,280,110,40,1/1/2019 12:00
0.90,280,280,110,40,1/1/2019 13:00
-0.15,280,280,280,80,1/1/2019 14:00
0.00,290,290,300,280,1/1/2019 15:00
-0.22,300,290,320,150,1/1/2019 16:00
14.71,340,300,320,200,1/1/2019 17:00
67.66,340,290,320,200,1/1/2019 18:00
0.52,300,290,300,110,1/1/2019 19:00
-37.11,290,290,280,110,1/1/2019 20:00
-52.12,280,290,110,110,1/1/2019 21:00
-119.55,290,290,290,110,1/1/2019 22:00
-36.37,280,290,110,280,1/1/2019 23:00
-216.03,270,280,110,90,1/1/2019 0:00
-250.65,270,220,110,40,1/2/2019 1:00
-342.87,270,110,110,30,1/2/2019 2:00
-360.56,270,110,110,30,1/2/2019 3:00
-250.88,260,110,110,30,1/2/2019 4:00
-250.43,270,110,40,30,1/2/2019 5:00
-132.83,270,110,40,40,1/2/2019 6:00
-0.07,270,110,110,40,1/2/2019 7:00
279.47,280,280,110,100,1/2/2019 8:00
358.84,330,300,280,110,1/2/2019 9:00
378.86,350,300,300,280,1/2/2019 10:00
359.22,350,300,300,280,1/2/2019 11:00
363.32,350,300,300,280,1/2/2019 12:00
372.88,350,300,300,280,1/2/2019 13:00
352.87,350,300,300,280,1/2/2019 14:00
370.64,360,300,300,300,1/2/2019 15:00
400.73,370,320,320,310,1/2/2019 16:00
418.20,390,380,400,330,1/2/2019 17:00
425.22,410,430,400,330,1/2/2019 18:00
413.57,410,440,400,330,1/2/2019 19:00
409.92,410,430,420,510,1/2/2019 20:00
402.15,390,380,400,330,1/2/2019 21:00
393.56,390,380,330,330,1/2/2019 22:00
388.94,360,370,330,300,1/2/2019 23:00
379.00,340,330,300,300,1/2/2019 0:00
320.35,340,300,300,300,1/3/2019 1:00
337.59,290,300,300,300,1/3/2019 2:00
360.66,290,300,320,300,1/3/2019 3:00
361.34,290,290,290,110,1/3/2019 4:00
364.25,290,290,300,110,1/3/2019 5:00
342.82,290,290,280,60,1/3/2019 6:00
381.27,300,290,290,110,1/3/2019 7:00
393.96,340,290,290,110,1/3/2019 8:00
469.51,340,300,290,110,1/3/2019 9:00
448.16,340,290,290,280,1/3/2019 10:00
434.42,340,290,260,110,1/3/2019 11:00
458.91,340,290,250,110,1/3/2019 12:00
462.87,340,290,110,40,1/3/2019 13:00
471.23,300,280,110,40,1/3/2019 14:00
475.33,300,280,110,40,1/3/2019 15:00
493.70,300,220,110,40,1/3/2019 16:00
510.72,340,290,250,110,1/3/2019 17:00
519.23,350,300,300,110,1/3/2019 18:00
490.27,340,300,300,280,1/3/2019 19:00
459.21,330,300,300,110,1/3/2019 20:00
418.37,280,290,250,110,1/3/2019 21:00
406.43,300,290,290,110,1/3/2019 22:00
388.88,280,290,250,110,1/3/2019 23:00
373.13,280,270,250,40,1/3/2019 0:00
372.38,270,220,40,40,1/4/2019 1:00
351.78,250,220,70,40,1/4/2019 2:00
351.48,250,220,110,40,1/4/2019 3:00
350.51,250,270,110,40,1/4/2019 4:00
350.95,250,270,110,40,1/4/2019 5:00
350.28,250,270,110,40,1/4/2019 6:00
370.29,270,290,110,110,1/4/2019 7:00
412.71,280,290,290,110,1/4/2019 8:00
406.51,340,300,290,280,1/4/2019 9:00
404.57,350,300,300,300,1/4/2019 10:00
402.48,350,320,300,310,1/4/2019 11:00
395.83,370,370,300,310,1/4/2019 12:00
386.35,390,380,330,300,1/4/2019 13:00
385.30,410,380,400,310,1/4/2019 14:00
383.88,410,410,420,330,1/4/2019 15:00
385.97,410,420,420,510,1/4/2019 16:00
392.69,410,440,470,520,1/4/2019 17:00
398.30,410,440,470,520,1/4/2019 18:00
394.34,410,440,330,330,1/4/2019 19:00
387.47,410,440,330,300,1/4/2019 20:00
347.82,410,440,400,330,1/4/2019 21:00
339.23,380,380,330,330,1/4/2019 22:00
328.25,360,380,300,300,1/4/2019 23:00
234.54,350,330,300,300,1/4/2019 0:00
200.88,350,370,320,330,1/5/2019 1:00
187.59,350,300,310,300,1/5/2019 2:00
180.12,340,300,300,300,1/5/2019 3:00
164.59,340,300,300,300,1/5/2019 4:00
137.18,340,300,300,300,1/5/2019 5:00
164.96,340,300,300,300,1/5/2019 6:00
174.37,340,300,320,310,1/5/2019 7:00
351.29,350,320,330,380,1/5/2019 8:00
373.32,360,370,400,430,1/5/2019 9:00
378.84,360,370,400,450,1/5/2019 10:00
380.34,390,390,400,460,1/5/2019 11:00
381.01,400,390,420,460,1/5/2019 12:00
383.55,390,390,420,460,1/5/2019 13:00
386.38,390,390,400,440,1/5/2019 14:00
387.73,390,390,400,470,1/5/2019 15:00
397.44,390,390,420,530,1/5/2019 16:00
412.67,390,390,420,530,1/5/2019 17:00
417.23,410,420,420,530,1/5/2019 18:00
412.67,410,390,420,530,1/5/2019 19:00
401.77,400,380,420,520,1/5/2019 20:00
393.93,390,370,400,450,1/5/2019 21:00
387.58,350,320,350,430,1/5/2019 22:00
383.70,340,300,320,260,1/5/2019 23:00
373.09,330,300,300,110,1/5/2019 0:00
375.52,290,290,290,110,1/6/2019 1:00
356.33,280,290,280,110,1/6/2019 2:00
364.46,280,280,250,60,1/6/2019 3:00
363.34,270,260,110,40,1/6/2019 4:00
357.07,270,230,110,40,1/6/2019 5:00
363.79,270,110,40,40,1/6/2019 6:00
359.83,270,240,110,40,1/6/2019 7:00
366.70,290,270,260,110,1/6/2019 8:00
376.64,330,290,280,110,1/6/2019 9:00
398.74,300,290,110,110,1/6/2019 10:00
390.90,290,290,110,110,1/6/2019 11:00
394.03,300,290,110,110,1/6/2019 12:00
394.71,290,280,230,110,1/6/2019 13:00
391.57,330,290,280,110,1/6/2019 14:00
384.70,340,290,300,240,1/6/2019 15:00
385.07,340,300,300,240,1/6/2019 16:00
397.84,350,300,330,260,1/6/2019 17:00
412.55,390,320,330,240,1/6/2019 18:00
405.08,390,320,300,300,1/6/2019 19:00
395.00,390,320,300,300,1/6/2019 20:00
387.91,350,300,300,280,1/6/2019 21:00
385.07,350,320,300,290,1/6/2019 22:00
378.65,340,300,290,280,1/6/2019 23:00
375.07,280,290,260,260,1/6/2019 0:00
343.71,280,290,260,240,1/7/2019 1:00
358.27,270,290,260,110,1/7/2019 2:00
357.22,270,230,110,110,1/7/2019 3:00
344.30,270,220,110,80,1/7/2019 4:00
344.08,270,220,110,100,1/7/2019 5:00
355.58,270,220,110,40,1/7/2019 6:00
416.43,300,260,260,110,1/7/2019 7:00
445.48,350,320,320,280,1/7/2019 8:00
432.64,390,370,330,300,1/7/2019 9:00
424.87,370,320,320,300,1/7/2019 10:00
420.24,350,300,290,110,1/7/2019 11:00
414.87,350,290,230,110,1/7/2019 12:00
411.73,340,280,110,110,1/7/2019 13:00
404.41,350,290,230,110,1/7/2019 14:00
401.20,350,300,260,110,1/7/2019 15:00
397.62,390,340,300,110,1/7/2019 16:00
397.69,390,300,300,110,1/7/2019 17:00
398.89,360,370,290,300,1/7/2019 18:00
374.77,280,330,290,300,1/7/2019 19:00
336.61,280,290,290,300,1/7/2019 20:00
305.85,280,290,290,300,1/7/2019 21:00
279.27,340,330,290,300,1/7/2019 22:00
157.93,330,300,300,300,1/7/2019 23:00
107.38,280,300,290,290,1/7/2019 0:00
133.96,280,290,280,240,1/8/2019 1:00
156.14,280,290,280,190,1/8/2019 2:00
58.09,280,290,290,230,1/8/2019 3:00
107.00,280,290,280,220,1/8/2019 4:00
138.59,280,290,290,240,1/8/2019 5:00
138.67,280,290,290,260,1/8/2019 6:00
267.40,280,290,290,240,1/8/2019 7:00
327.59,280,300,260,80,1/8/2019 8:00
350.44,410,370,300,310,1/8/2019 9:00
327.66,410,380,400,330,1/8/2019 10:00
327.44,410,370,360,300,1/8/2019 11:00
349.02,390,320,300,280,1/8/2019 12:00
328.11,370,300,300,280,1/8/2019 13:00
322.66,390,320,320,300,1/8/2019 14:00
327.14,410,370,400,430,1/8/2019 15:00
340.50,410,420,400,510,1/8/2019 16:00
262.92,360,370,290,300,1/8/2019 17:00
340.80,360,460,300,300,1/8/2019 18:00
340.73,330,340,290,300,1/8/2019 19:00
283.31,280,330,290,300,1/8/2019 20:00
295.18,280,330,290,180,1/8/2019 21:00
268.60,280,330,290,210,1/8/2019 22:00
221.93,280,330,290,250,1/8/2019 23:00
168.39,280,330,290,300,1/8/2019 0:00
149.62,350,360,300,300,1/9/2019 1:00
54.06,350,380,330,330,1/9/2019 2:00
25.61,350,370,400,310,1/9/2019 3:00
74.96,350,320,330,310,1/9/2019 4:00
106.02,340,300,300,330,1/9/2019 5:00
189.72,340,300,300,300,1/9/2019 6:00
276.10,360,320,340,330,1/9/2019 7:00
327.69,410,380,420,450,1/9/2019 8:00
380.63,410,380,440,510,1/9/2019 9:00
375.55,410,370,420,450,1/9/2019 10:00
374.88,410,370,360,300,1/9/2019 11:00
341.95,390,320,300,290,1/9/2019 12:00
325.82,370,300,290,110,1/9/2019 13:00
324.71,370,300,280,110,1/9/2019 14:00
336.35,360,300,290,110,1/9/2019 15:00
372.94,390,300,300,280,1/9/2019 16:00
401.83,390,370,330,300,1/9/2019 17:00
417.66,390,330,400,330,1/9/2019 18:00
404.59,350,300,300,300,1/9/2019 19:00
404.59,280,290,290,280,1/9/2019 20:00
395.56,280,290,290,280,1/9/2019 21:00
385.85,340,290,300,280,1/9/2019 22:00
380.48,340,290,290,280,1/9/2019 23:00
373.01,290,290,280,280,1/9/2019 0:00
377.11,290,280,250,110,1/10/2019 1:00
373.15,290,280,250,110,1/10/2019 2:00
369.94,290,280,280,110,1/10/2019 3:00
373.15,290,290,280,280,1/10/2019 4:00
372.85,300,290,290,280,1/10/2019 5:00
371.81,290,290,280,280,1/10/2019 6:00
425.34,350,300,300,300,1/10/2019 7:00
542.03,390,330,300,300,1/10/2019 8:00
591.53,390,370,300,300,1/10/2019 9:00
591.08,370,320,300,300,1/10/2019 10:00
586.45,350,300,320,300,1/10/2019 11:00
578.17,360,300,300,300,1/10/2019 12:00
520.08,350,300,300,290,1/10/2019 13:00
474.91,350,300,320,300,1/10/2019 14:00
447.51,360,320,330,330,1/10/2019 15:00
440.57,410,380,300,300,1/10/2019 16:00
444.75,410,440,330,300,1/10/2019 17:00
442.06,430,440,330,200,1/10/2019 18:00
420.93,430,440,110,110,1/10/2019 19:00
405.25,410,440,110,110,1/10/2019 20:00
394.06,360,420,110,110,1/10/2019 21:00
388.31,340,330,110,110,1/10/2019 22:00
376.88,280,330,110,110,1/10/2019 23:00
369.12,280,280,110,110,1/10/2019 0:00
357.14,280,290,110,110,1/11/2019 1:00
347.73,280,290,250,110,1/11/2019 2:00
341.46,280,290,290,110,1/11/2019 3:00
327.05,280,290,290,110,1/11/2019 4:00
345.19,340,290,290,270,1/11/2019 5:00
346.83,340,300,290,290,1/11/2019 6:00
382.89,350,300,300,300,1/11/2019 7:00
395.88,370,300,300,310,1/11/2019 8:00
404.99,390,370,300,310,1/11/2019 9:00
400.81,410,380,330,300,1/11/2019 10:00
400.36,410,380,420,330,1/11/2019 11:00
398.04,410,390,420,510,1/11/2019 12:00
387.37,410,390,420,510,1/11/2019 13:00
379.23,410,390,420,450,1/11/2019 14:00
339.37,410,390,420,450,1/11/2019 15:00
315.03,410,380,420,510,1/11/2019 16:00
342.88,410,420,450,510,1/11/2019 17:00
384.53,410,380,330,300,1/11/2019 18:00
376.54,390,370,290,300,1/11/2019 19:00
370.57,350,320,290,290,1/11/2019 20:00
365.27,340,300,290,290,1/11/2019 21:00
360.87,340,290,290,280,1/11/2019 22:00
354.90,340,290,290,280,1/11/2019 23:00
336.16,300,290,280,280,1/11/2019 0:00
352.59,290,290,280,280,1/12/2019 1:00
342.43,290,290,280,280,1/12/2019 2:00
332.96,290,290,280,280,1/12/2019 3:00
320.19,290,290,280,280,1/12/2019 4:00
313.70,290,290,290,290,1/12/2019 5:00
313.48,300,290,300,300,1/12/2019 6:00
328.85,340,300,300,300,1/12/2019 7:00
346.24,360,320,320,330,1/12/2019 8:00
358.41,360,370,360,330,1/12/2019 9:00
372.51,360,370,400,380,1/12/2019 10:00
375.42,360,320,320,300,1/12/2019 11:00
375.57,360,300,300,300,1/12/2019 12:00
375.57,360,300,300,300,1/12/2019 13:00
372.81,360,320,320,310,1/12/2019 14:00
373.86,370,390,360,430,1/12/2019 15:00
379.31,410,430,420,510,1/12/2019 16:00
385.87,410,440,480,530,1/12/2019 17:00
395.28,430,470,500,550,1/12/2019 18:00
390.58,430,470,520,560,1/12/2019 19:00
382.37,430,470,520,560,1/12/2019 20:00
373.33,430,470,520,560,1/12/2019 21:00
367.44,420,450,500,550,1/12/2019 22:00
360.42,420,450,500,550,1/12/2019 23:00
352.44,410,440,490,540,1/12/2019 0:00
328.49,410,440,490,530,13-01-2019 01:00:00
328.57,400,380,420,530,13-01-2019 02:00:00
276.39,390,380,420,520,13-01-2019 03:00:00
198.09,370,380,400,520,13-01-2019 04:00:00
173.54,390,380,420,520,13-01-2019 05:00:00
149.35,360,370,330,300,13-01-2019 06:00:00
299.01,410,420,300,300,13-01-2019 07:00:00
342.30,430,440,470,330,13-01-2019 08:00:00
195.78,430,450,500,380,13-01-2019 09:00:00
277.36,430,440,500,520,13-01-2019 10:00:00
196.30,430,440,490,540,13-01-2019 11:00:00
229.97,430,440,490,540,13-01-2019 12:00:00
201.98,430,450,500,540,13-01-2019 13:00:00
63.44,450,460,500,540,13-01-2019 14:00:00
257.06,450,470,510,540,13-01-2019 15:00:00
347.75,460,490,520,590,13-01-2019 16:00:00
351.93,460,490,540,600,13-01-2019 17:00:00
375.36,470,510,550,620,13-01-2019 18:00:00
366.33,470,510,550,620,13-01-2019 19:00:00
343.57,460,490,550,600,13-01-2019 20:00:00
298.63,450,470,520,580,13-01-2019 21:00:00
300.20,460,490,540,590,13-01-2019 22:00:00
22.69,450,490,520,560,13-01-2019 23:00:00
-54.34,430,470,510,560,13-01-2019 00:00:00
-23.44,430,470,500,550,14-01-2019 01:00:00
-89.57,420,450,490,550,14-01-2019 02:00:00
-112.18,420,450,490,540,14-01-2019 03:00:00
-82.78,420,450,490,540,14-01-2019 04:00:00
-36.87,420,450,490,550,14-01-2019 05:00:00
11.87,420,440,490,540,14-01-2019 06:00:00
267.96,450,470,520,560,14-01-2019 07:00:00
382.31,470,510,550,620,14-01-2019 08:00:00
385.59,500,520,570,620,14-01-2019 09:00:00
344.02,500,510,570,620,14-01-2019 10:00:00
375.14,480,510,570,620,14-01-2019 11:00:00
332.07,480,510,550,620,14-01-2019 12:00:00
307.82,470,510,550,600,14-01-2019 13:00:00
290.42,470,510,550,600,14-01-2019 14:00:00
311.92,470,510,550,600,14-01-2019 15:00:00
370.44,470,510,550,620,14-01-2019 16:00:00
380.14,470,510,550,620,14-01-2019 17:00:00
382.53,500,540,570,650,14-01-2019 18:00:00
380.14,500,520,570,650,14-01-2019 19:00:00
377.08,500,510,570,650,14-01-2019 20:00:00
370.29,470,490,550,540,14-01-2019 21:00:00
